Strength,Guidance,F1-Score
0.35,6.5,0.6777408637873754
0.35,7.5,0.6037735849056604
0.35,9.0,0.6802721088435374
0.4,6.5,0.5126050420168067
0.4,7.5,0.5316455696202531
0.4,9.0,0.6474820143884892
0.45,6.5,0.45132743362831856
0.45,7.5,0.6236559139784946
0.45,9.0,0.6643598615916955
